"","id","volume","initial_mass","concentration","duration","pH","temperature","pH_final","yield_total","conc_filtrate","yield_filtrate","Abs_max","wavelength_max"
"1","0211-1",5,4.727,10,8,3.2,180,2.94,31.5,7.82,33.1,0.291628205128205,281.825
"2","0211-2",5,4.779,10,3,9.5,180,3.04,48.8,12.5,52.3,0.755444444444444,282.5
"3","0211-3",10,9.758,10,8,6.2,180,2.74,45.6,20.7,42.4,0.941700854700855,282.75
"4","0211-4",10,9.734,10,3,3.2,180,2.76,63.7,37.3,76.6,1.07588461538462,282.5
"5","0211-5",10,10.114,10,8,3.2,180,2.57,23.1,15,29.7,0.413931623931624,282.06
"6","0211-6",10,9.582,10,8,6.2,180,2.8,39.6,19.1,39.9,0.936405982905983,282.5
"7","0211-7",10,9.833,10,3,9.5,180,2.86,50.4,26.9,54.7,1.62853846153846,283
"8","0211-8",10,9.828,10,3,6.2,180,2.95,69.5,37.4,76.1,1.53612820512821,283
"9","0211-9",10,10.187,10,8,9.5,180,2.71,25.4,13.2,25.9,0.528974358974359,282.066666666667
"10","0311-1",5,4.743,7.5,5.5,6.2,170,3.37,53.4,14.3,80.4,0.650965811965812,283
"11","0311-2",5,4.431,7.5,5.5,6.2,170,3.35,49,13.1,78.8,0.523978632478633,282.5
"12","0311-3",10,9.737,7.5,5.5,6.2,170,3.11,50.1,29.2,80,1.03275,282.3
"13","0311-4",10,9.61,7.5,5.5,6.2,170,3.12,49,29.4,81.6,1.1891452991453,283
"14","0311-5",10,9.784,7.5,5.5,6.2,170,NA,58.2,NA,NA,NA,NA
"15","0311-6",10,10.134,7.5,5.5,6.2,170,3.08,60.1,31.2,82.1,1.53507905982906,282.5
"16","0311-7",10,9.856,7.5,5.5,6.2,170,3.06,59.3,28.7,77.7,1.26860897435897,282.75
"17","0311-8",10,9.633,7.5,5.5,6.2,170,3.09,60.8,28.9,80,1.16104700854701,283
"18","0311-9",10,10.136,7.5,5.5,6.2,170,3.04,58.9,29,76.3,1.2760811965812,283
"19","1310-1",5,5.28,10,8,6.2,160,3.33,85.8,22.2,84.1,0.694935897435897,283
"20","1310-2",5,5.105,10,8,3.2,160,3.18,86,21.7,85,0.494064102564103,282.75
"21","1310-3",10,11.344,10,8,6.2,160,3,88.7,47.9,84.4,1.29568803418803,283
"22","1310-4",10,11.089,10,8,6.2,160,3,86.8,46.1,83.1,1.41161965811966,283.4
"23","1310-5",10,10.624,10,8,3.2,160,2.96,89.6,45.8,86.2,1.10851282051282,282.75
"24","1310-6",10,10.887,10,8,3.2,160,3,91.4,46.9,86.2,1.21904700854701,282.5
"25","1310-7",10,11.204,10,8,9.5,160,2.88,81.3,31,55.3,1.42532905982906,281.6
"26","1310-8",10,10.999,10,8,9.5,160,2.87,82,31,56.4,1.65917948717949,281.6
"27","1310-9",10,11.274,10,8,9.5,160,2.87,88.1,32.7,58,1.47038461538462,282.5
"28","1410-1",5,5.236,10,3,6.2,160,3.57,94,24.6,94,0.341316239316239,283.2
"29","1410-2",5,5.091,10,3,3.2,160,3.46,95.1,24.1,94.7,0.230824786324786,283.216666666667
"30","1410-3",10,11.245,10,3,6.2,160,3.45,93.5,52.9,94.1,0.772940170940171,283.4
