id,volume,initial_mass,concentration,duration,pH,temperature,pH_final,yield_total,conc_filtrate,yield_filtrate
1310-1,5,5.28,10,8,6.2,160,3.33,85.8,22.2,84.1
1310-2,5,5.105,10,8,3.2,160,3.18,86,21.7,85
1310-3,10,11.344,10,8,6.2,160,3,88.7,47.9,84.4
1310-4,10,11.089,10,8,6.2,160,3,86.8,46.1,83.1
1310-5,10,10.624,10,8,3.2,160,2.96,89.6,45.8,86.2
1310-6,10,10.887,10,8,3.2,160,3,91.4,46.9,86.2
1310-7,10,11.204,10,8,9.5,160,2.88,81.3,31,55.3
1310-8,10,10.999,10,8,9.5,160,2.87,82,31,56.4
1310-9,10,11.274,10,8,9.5,160,2.87,88.1,32.7,58
1410-1,5,5.236,10,3,6.2,160,3.57,94,24.6,94
1410-2,5,5.091,10,3,3.2,160,3.46,95.1,24.1,94.7
1410-3,10,11.245,10,3,6.2,160,3.45,93.5,52.9,94.1
1410-4,10,10.888,10,3,6.2,160,3.41,94.4,51.8,95.2
1410-5,10,10.376,10,3,3.2,160,3.3,94,48.8,94.1
1410-6,10,10.569,10,3,3.2,160,3.3,93.4,50,94.6
1410-7,10,10.42,10,3,9.5,160,3.21,84.1,39.7,76.2
1410-8,10,10.463,10,3,9.5,160,3.19,83.2,39.5,75.5
1410-9,10,11.997,10,3,9.5,160,3.18,75.5,40.4,67.4
1610-1,5,5.213,10,8,9.5,180,2.9,80.8,5.23,20.1
1610-2,5,5.18,10,8,9.5,180,2.86,127,6.8,26.3
1610-3,10,11.378,10,3,6.2,180,2.9,81.5,42.5,74.7
1610-4,10,11.498,10,8,3.2,180,2.58,56.8,17,29.6
1610-5,10,10.847,10,3,6.2,180,2.89,82.3,40.9,75.4
1610-6,10,10.777,10,3,9.5,180,2.89,102.6,27.9,51.8
1610-7,10,10.675,10,3,3.2,180,2.82,78.8,40.7,76.3
1610-8,10,10.084,10,8,6.2,180,2.68,71.5,20.3,40.3
1610-9,10,10.871,10,3,3.2,180,2.77,78.6,39.5,72.7
2810-1,5,5.171,5,8,9.5,160,3.32,61.5,8,61.9
2810-2,5,5.011,5,8,3.2,160,3.26,72.6,10.5,83.8
2810-3,10,11.133,5,8,6.2,160,3.23,56.6,22.9,82.3
2810-4,10,10.406,5,8,9.5,160,3.2,57.7,18.7,71.9
2810-5,10,10.401,5,8,9.5,160,3.17,44.2,17.3,66.5
2810-6,10,10.526,5,8,6.2,160,3.29,54.2,21.6,82.1
2810-7,10,10.135,5,8,3.2,160,2.97,56.8,20.9,82.5
2810-8,10,10.354,5,8,3.2,160,3,64.9,22,85
2810-9,10,10.845,5,8,6.2,160,3.15,58.1,22.6,83.4
3010-1,5,5.086,5,3,3.2,160,3.43,93.6,12,94.4
3010-2,5,5.085,5,3,6.2,160,3.73,90.4,11.3,88.9
3010-3,10,11.035,5,3,3.2,160,3.19,90.4,24.8,89.9
3010-4,10,10.37,5,3,3.2,160,3.21,93.3,23.2,89.5
3010-5,10,10.242,5,3,9.5,160,3.46,83.6,21.2,82.8
3010-6,10,10.115,5,3,6.2,160,3.51,93.7,23.8,94.1
3010-7,10,10.191,5,3,6.2,160,3.49,94.4,23.6,92.6
3010-8,10,10.344,5,3,9.5,160,3.44,82.6,20.5,79.3
3010-9,10,10.642,5,3,9.5,160,3.42,83.3,21,78.9
3110-1,5,5.073,5,3,6.2,180,3.33,80,9.2,72.5
3110-2,5,4.879,5,3,3.2,180,3.16,78.3,9.3,76.2
3110-3,10,10.663,5,3,9.5,180,3.06,67.1,15.9,59.6
3110-4,10,10.031,5,3,6.2,180,3.12,83.1,19.9,79.4
3110-5,10,9.746,5,3,9.5,180,3.12,68.7,15,61.6
3110-6,10,9.774,5,3,3.2,180,3.04,82.9,19.6,80.2
3110-7,10,9.833,5,3,9.5,180,3.1,65.9,14.8,60.2
3110-8,10,9.953,5,3,3.2,180,2.93,78,18.9,76
3110-9,10,10.18,5,3,6.2,180,3.09,80.4,18.7,73.5
3110-10,5,4.762,5,8,9.5,180,3.11,38.6,3.4,28.6
3110-11,5,4.344,5,8,6.2,180,3.12,16.6,5.1,47
3110-12,10,9.579,5,8,3.2,180,2.81,58.3,11.4,47.6
3110-13,10,9.156,5,8,6.2,180,2.9,60.3,10.8,47.2
3110-14,10,9.268,5,8,3.2,180,2.81,52.7,10.9,47
3110-15,10,9.678,5,8,6.2,180,2.92,64.1,11.5,47.5
3110-16,10,9.181,5,8,9.5,180,2.93,44.9,7.7,33.5
3110-17,10,9.596,5,8,9.5,180,2.91,52.5,7.5,31.3
3110-18,10,8.597,5,8,3.2,180,2.82,58.6,10.5,48.9
0211-1,5,4.727,10,8,3.2,180,2.94,31.5,7.82,33.1
0211-2,5,4.779,10,3,9.5,180,3.04,48.8,12.5,52.3
0211-3,10,9.758,10,8,6.2,180,2.74,45.6,20.7,42.4
0211-4,10,9.734,10,3,3.2,180,2.76,63.7,37.3,76.6
0211-5,10,10.114,10,8,3.2,180,2.57,23.1,15,29.7
0211-6,10,9.582,10,8,6.2,180,2.8,39.6,19.1,39.9
0211-7,10,9.833,10,3,9.5,180,2.86,50.4,26.9,54.7
0211-8,10,9.828,10,3,6.2,180,2.95,69.5,37.4,76.1
0211-9,10,10.187,10,8,9.5,180,2.71,25.4,13.2,25.9
0311-1,5,4.743,7.5,5.5,6.2,170,3.37,53.4,14.3,80.4
0311-2,5,4.431,7.5,5.5,6.2,170,3.35,49,13.1,78.8
0311-3,10,9.737,7.5,5.5,6.2,170,3.11,50.1,29.2,80
0311-4,10,9.61,7.5,5.5,6.2,170,3.12,49,29.4,81.6
0311-5,10,9.784,7.5,5.5,6.2,170,n/a,58.2,n/a,n/a
0311-6,10,10.134,7.5,5.5,6.2,170,3.08,60.1,31.2,82.1
0311-7,10,9.856,7.5,5.5,6.2,170,3.06,59.3,28.7,77.7
0311-8,10,9.633,7.5,5.5,6.2,170,3.09,60.8,28.9,80
0311-9,10,10.136,7.5,5.5,6.2,170,3.04,58.9,29,76.3
